Id,pipe_sentiment,pipe_abs_score,pipe_score,vader_score,vader_sentiment,blob_score,blob_sentiment,ProductId,UserId,Rating,review_dt,Text,Rating_scaled,std_dev
1.0,POSITIVE,0.9983851909637451,0.9983851909637451,0.9441,POSITIVE,0.45,POSITIVE,B001E4KFG0,A3SGXH7AUHU8GW,5.0,2011-04-27,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,1.0,0.30216110758619963
2.0,NEGATIVE,0.9995254278182983,-0.9995254278182983,-0.5664,NEGATIVE,-0.033333333333333326,NEGATIVE,B00813GRG4,A1D87F6ZCVE5NK,1.0,2012-09-07,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",-1.0,0.48395675956624107
3.0,POSITIVE,0.9997652173042297,0.9997652173042297,0.8138,POSITIVE,0.1335714285714286,POSITIVE,B000LQOCH0,ABXLMWJIXXAIN,4.0,2008-08-18,"This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",0.5,0.4559944537444231
4.0,POSITIVE,0.9991534948348999,0.9991534948348999,0.4404,POSITIVE,0.16666666666666666,POSITIVE,B000UA0QIQ,A395BORC6FGVXV,2.0,2011-06-13,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,-0.5,0.42429740450961945
5.0,POSITIVE,0.9987082481384277,0.9987082481384277,0.9468,POSITIVE,0.48333333333333334,POSITIVE,B006K2ZZ7K,A1UQRSCLF8GW1T,5.0,2012-10-21,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",1.0,0.28375667984685693
6.0,POSITIVE,0.9992551207542419,0.9992551207542419,0.8382,POSITIVE,0.25740740740740736,POSITIVE,B006K2ZZ7K,ADT0SRK1MGOEU,4.0,2012-07-12,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",0.5,0.3902129370248839
7.0,POSITIVE,0.9993639588356018,0.9993639588356018,0.9346,POSITIVE,0.25083333333333335,POSITIVE,B006K2ZZ7K,A1SP2KVKFXXRU1,5.0,2012-06-20,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",1.0,0.41473471885116336
8.0,POSITIVE,0.9998829364776611,0.9998829364776611,0.9487,POSITIVE,0.48600000000000004,POSITIVE,B006K2ZZ7K,A3JRGQVEQN31IQ,5.0,2012-05-03,This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,1.0,0.28307438815894903
9.0,POSITIVE,0.9985174536705017,0.9985174536705017,0.6369,POSITIVE,0.42857142857142855,POSITIVE,B000E7L2R4,A1MZYO9TZK0BBI,5.0,2011-11-23,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,1.0,0.28838817821322016
10.0,POSITIVE,0.9994561076164246,0.9994561076164246,0.8313,POSITIVE,0.44999999999999996,POSITIVE,B00171APVA,A21BT40VZCCYT4,5.0,2012-10-26,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,1.0,0.28153394725020836
